9607787	96.4	0.15	2.42	58.95	2.32	4.16	34.24	0.12	0.22	0.08	0.4	0.09	0.04	0.51	15.56	0.81	4.72	25.38	6.48	7.01	2.56	4.73	3.35	2.1	22.09	3.76	19.8	1.13	3.68	67.22	5.76	1.78	29.98	29.98	0	47.45	17.71	27.68	7.16	2.85	12.94	17.81	19.09	30.23	4.2	0.87	3.34	7.73	0.89	2.61	12.6	15.56	18.51	32.48	5.02	0.7	3.01	8.31	1.16	3.09	13.29	20.12	19.69	27.92	3.36	1.05	3.69	7.13	0.62	85.36	7.54	3.16	0.21	3.3	0.06	0.03	76.47	18.88	3.86	0.79	50.69	19.6	5.32	18.51	5.51	0.12	0.1	0	0	0.1	0.06	1.34	83.7	4.72	0	0.22	0.44	9.58	94.08	5.78	0.12	0.03	1.62	68.8	24.7	4.88	32.8	61.36	1.67	3.85	1138.09	882.3	577.12	597.01	389.74	265.11	357.33	120.81	286.35	520.05	0	71.64	250.92	265.77	411.8	48.21	598.44	656.74	1179.01	462.53	560.87	570.04	813.66	1352.2	968.62	868.47	1090.51	1213.2	867.24	1479.5	1497.16	1914.31	2349.28	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	37.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43053732	93.21	0.52	6.12	56.13	2.26	6.89	34.56	19.84	1.9	0.98	0.75	1.07	0.18	0.66	17.6	0.52	6.28	20.72	2.33	6.2	0.94	1.33	3.81	1.12	11.59	2.17	24.49	8.12	3.65	40.68	17.25	5.81	15.93	20.78	7.34	75.84	4.55	8.22	11.4	7.22	17.87	35.51	16.29	16.07	1.86	0.65	1.37	2.88	0.27	6.22	17.6	34.34	16.36	17.55	2.43	0.56	1.33	3.25	0.37	8.25	18.16	36.73	16.22	14.54	1.28	0.74	1.42	2.5	0.16	97	1.81	0.58	0.05	0.22	0.03	0.01	67.92	13.85	6.72	11.52	17.75	8.64	3.1	18.24	31.65	6.65	8.72	3.99	0.64	0.19	0.42	1	70.11	1.4	0.04	25.51	0.22	1.71	79.91	18.66	0.57	0.86	0.82	64.01	9.13	26.03	32.23	60.5	2.28	4.82	1209.67	953.44	648.59	668	460.08	335.07	426.83	190.41	346.36	584.1	71.64	0	192.87	199.07	353.46	114.29	535.04	594.42	1116.54	492.9	543.33	541.52	793.99	1324.21	940.3	821.55	1046.3	1184.73	832.13	1433.21	1463.94	1872.1	2301.63	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0	176.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32382657	89.09	0.54	10.1	66.41	1.95	5.24	26.12	29.31	3.31	2.75	1.21	2.28	0.34	0.6	14.75	0.24	6.48	17.19	2.39	3.43	0.38	0.83	3.5	0.87	9.32	0.8	21.03	15.93	3	28.85	16.67	14.52	13.52	19.9	8.39	86.89	1.54	2.3	9.27	9.57	19.32	35.2	17.33	12.99	1.51	0.63	1.01	2.29	0.14	7.26	19.25	35.16	18.03	14.16	1.93	0.55	0.95	2.51	0.2	11.82	19.4	35.24	16.64	11.85	1.1	0.7	1.07	2.08	0.09	96.74	1.77	0.98	0.05	0.16	0.01	0.02	65.46	10.79	2.94	20.81	4.7	12.38	4.3	12.86	42.59	6.3	12.11	3.21	0.49	0.86	0.2	0.23	51.41	1.01	0.1	45.94	0.09	1.23	78.43	20.81	0.16	0.6	0.66	64.67	4.78	29.89	28.22	63.2	1.54	6.74	1354.99	1091.42	809.32	807.64	598.82	477.17	602.91	369.47	446.8	683.55	250.92	192.87	0	57.53	161.17	298.97	348.92	406.3	928.36	487.65	408.13	382.6	644.95	1154.97	773.28	631.92	858.29	1015.51	655.75	1243.12	1286.83	1684.7	2110.39	0	0	0	0	0	0	0	0	0	0	0	100	0	100	100	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0
3457491	89.36	0.25	10.25	66.65	1.71	3.88	27.63	26.35	2.03	0.68	0.27	4.11	0.21	0.79	10.43	0.29	5.89	18.42	3.39	2.68	0.95	1.26	5.65	1.59	13.67	1.33	20.1	15.02	3.21	36.39	9.5	15.78	30.36	38.9	12.18	76.05	9.61	7.18	7.15	9.99	15.21	21.33	16.45	23.33	4.04	0.96	2.28	5.8	0.6	6.9	15.2	21.04	17.05	25.14	4.8	0.8	2.12	6.15	0.8	12.98	15.22	21.61	15.87	21.58	3.3	1.12	2.44	5.46	0.41	91.95	2.73	4.79	0.15	0.1	0	0.01	73.95	19.11	0.84	6.09	12.18	7.51	0.57	7.69	56.56	5.76	3.38	1.09	0.15	4.82	0.28	0.23	45.81	1.24	0.58	42.76	0.34	9.04	85.14	14.31	0.02	0.54	0.7	71.11	8.49	19.7	32.59	59.04	1.4	6.83	1389.71	1128.1	837.3	843.08	633.51	509.79	622.88	386.56	489.22	728.27	265.77	199.07	57.53	0	166.99	312.11	336.96	397.14	918.47	544.05	457.3	424.73	687.98	1187.3	808.11	648.45	876.33	1048.23	685.71	1256.97	1314.05	1702.01	2121.09	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37476757	86.11	1.32	11.8	64.54	1.41	4.35	28.97	32.81	2.23	2.97	1.52	4.88	0.32	0.55	11.08	0.3	4.87	16.02	1.74	3.59	0.44	0.85	3.66	0.86	9.57	1.71	21.53	15.09	3.38	28.87	15.33	15.79	13.42	20	7.74	85.81	3.36	3.44	7.39	12.37	17.67	32.02	16.88	14.97	1.7	0.54	0.67	2.99	0.19	9.56	17.69	31.7	17.53	16.63	2.26	0.49	0.62	3.24	0.27	15.08	17.64	32.33	16.25	13.35	1.16	0.6	0.72	2.75	0.12	96.36	1.7	0.62	0.3	0.16	0.02	0.01	62.05	13.14	1.7	23.12	11.45	11.36	3.7	17.96	36.44	4.55	10.79	2.26	0.48	0.62	0.39	0.75	46.75	5.19	0.04	45.83	0.16	1.28	73.88	24.42	0.83	0.86	0.94	62.18	6.82	30.06	27.94	61.87	1.93	7.43	1494.21	1228.03	959.7	947.95	742.06	624.63	760.58	529.33	578.49	805.16	411.8	353.46	161.17	166.99	0	459.95	194.53	248.29	768.75	554.88	358.85	301.15	557.87	1031.43	657.79	481.86	709.92	893.33	529.04	1090	1152.36	1535.22	1594.62	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0
10632166	92.41	0.88	6.23	55.75	2.14	7.26	34.56	15.52	0.68	1.08	0.99	0.54	0.18	0.66	23.91	0.67	4.88	18.59	2.2	6.94	1	1.71	3.94	1.16	12.38	2.97	23.35	6.1	3.32	50.96	10.18	5.93	15.33	19.86	5.46	72.77	10.01	10.04	7.18	7.38	18.01	29.79	17.57	19.4	2.06	0.66	1.39	3.43	0.31	6.24	17.66	28.6	17.67	21.19	2.56	0.56	1.27	3.82	0.43	8.57	18.38	31.04	17.45	17.53	1.54	0.76	1.51	3.02	0.18	94.67	2.53	1.09	0.08	1.23	0.03	0.11	64.55	10.71	3.08	21.66	31.05	6.33	3.63	23.61	20.32	6.12	3.23	3.02	1.72	0.54	0.42	1.13	68.55	1.78	0.05	25.98	0.25	2.26	82.71	15.13	0.53	1.63	0.89	66.48	10.42	22.21	31.84	62.06	1.84	3.95	1100.55	847.49	536.62	563.26	359.03	236.81	312.59	76.62	275.77	500.84	48.21	114.29	298.97	312.11	459.95	0	646.01	704.54	1226.85	476.96	600.29	613.21	853.17	1394.2	1011.03	915.75	1137.21	1255.45	911.86	1526.51	1540.83	1960.38	2396.46	0	0	0	0	0	0	0	100	100	0	37.36	176.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3890757	87.75	0.13	11.97	72.86	0.84	2.44	23.71	11.59	3.08	4.3	1.59	10.57	0.11	0.42	11.07	0.35	7.6	19.02	7.49	3.29	0.51	2.03	3.25	1.18	11.68	0.88	21.57	13.25	2.9	38.92	8.67	14.7	14.86	19.71	7.29	71.18	14.08	6.97	7.77	12.09	16.42	26.37	14.1	22.15	1.57	1.61	1.16	4.2	0.31	8.93	16.36	24.88	14.57	25.05	1.89	1.88	1.16	4.85	0.44	15.29	16.49	27.89	13.63	19.22	1.26	1.34	1.16	3.54	0.18	13.37	1.66	0.81	83.46	0.54	0.01	0.01	67.65	17.83	0.17	14.35	27.07	29.51	1.49	3.12	15.21	1	15.14	2.12	1.2	3.98	0.16	1.43	50.72	4.92	0.02	39.35	0.1	3.45	82.51	16.03	0.23	1.23	0.86	71.31	10.85	16.98	30.81	63.01	1.14	4.88	1687.71	1421.09	1153.98	1141.97	936.51	819.08	951.8	718.05	771.66	994.57	598.44	535.04	348.92	336.96	194.53	646.01	0	61.73	581.57	722.74	454.31	371.42	579.18	965.7	623.29	377.36	596.92	834.4	482.67	953.92	1061.91	1405.36	1804.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	100	0	0	0	100	0	0	0	100	0	0	0	0	0	0	0
4500212	78.27	0.45	21.03	63.36	1.26	9.9	25.39	37.53	2.65	7.13	2.11	3.35	0.24	1.74	5.13	0.19	4.33	13.69	0.94	4.48	0.28	0.67	5.09	0.79	8.87	0.8	19.49	20.6	2.72	18.87	20.17	18.1	8.05	14.04	3.77	85.21	2.15	2.5	10.13	20.47	20.27	25.01	14.74	14.33	0.85	0.84	0.58	2.77	0.15	16.72	21.23	24.74	14.92	16.25	1.1	0.81	0.57	3.42	0.24	23.95	19.37	25.27	14.57	12.54	0.62	0.87	0.59	2.15	0.06	96.47	0.31	0.2	2.62	0.32	0	0	41.23	12.26	2.2	44.3	8.41	10.91	5.84	6.8	46.96	6.01	11.84	1.85	1.12	0.05	0.2	0.37	2.05	35.94	0.05	61.11	0.1	0.37	32.61	48.4	8.26	10.73	0.33	54.07	2.63	42.97	33.32	58.35	3.17	5.07	1735.96	1468.75	1207.3	1191.57	987.65	871.91	1008.42	775.77	820.2	1038.75	656.74	594.42	406.3	397.14	248.29	704.54	61.73	0	522.32	755.57	465.97	379.03	563.43	920.6	589.82	329.13	543.22	791.84	448.71	894.71	1010.73	1346.52	1743.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0
4683827	83.25	0.1	16.4	72.27	0.76	3.37	23.31	57.41	2.16	4.97	2.51	1.21	0.2	1.48	4.36	0.13	2.22	5.38	0.32	4.35	0.16	0.32	4.14	0.83	7.2	0.65	17.7	26.1	1.83	14.29	3.08	36.98	6.34	21.75	2.65	84.68	3.86	2.59	8.87	15.3	27.04	31.08	11.07	10.5	1.41	0.68	0.78	2.03	0.11	14.21	28.13	29.75	11.21	11.16	1.64	0.6	0.74	2.4	0.17	16.37	25.98	32.38	10.93	9.85	1.19	0.76	0.81	1.67	0.06	9.05	34.74	54.14	0.11	0.01	0	1.73	63.38	10.89	1.16	24.58	1.23	12.04	7.91	0.62	22.58	6.77	26.63	13.67	4.76	3.2	0.58	0.3	0.27	15.8	0.05	83.37	0.08	0.13	27.06	14.4	6.9	51.64	0.23	42.01	3.08	54.68	40.04	52.73	1.56	5.39	2231.56	1963.69	1721.14	1694.92	1496.81	1385.94	1529.13	1297.75	1323.78	1525.41	1179.01	1116.54	928.36	918.47	768.75	1226.85	581.57	522.32	0	1207.86	863.69	779.52	802.8	811.8	692.06	451.68	435.69	741.86	606.88	546.79	802.1	966.05	1289.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0
4395983	87.1	0.66	11.98	67.07	1.18	4.28	27.16	21.62	1.72	35.99	2.15	0.47	0.66	2.28	2.16	0.25	4.7	10.83	0.84	2.34	0.34	0.54	3.46	0.85	7.41	1.39	24.45	16.42	2.78	24.99	5.53	25.83	11.84	26.15	5.86	84.85	2.35	4.04	8.76	12.47	25.89	29.33	14.55	13.06	1.2	0.72	0.86	1.79	0.13	10.11	25.98	29.52	15	14.29	1.4	0.69	0.79	2.04	0.18	14.93	25.8	29.13	14.09	11.78	0.99	0.75	0.93	1.54	0.07	59.22	11.38	22.94	0.06	5.41	0.68	0.07	61.82	8.72	3.14	26.32	7.19	6.94	1.45	1.25	8.73	5.89	4.42	2.48	20.93	40.56	0.14	0.71	25.46	17.84	0.32	55.22	0.11	0.33	56.49	14.6	8.36	20.55	0.6	64.86	4.73	29.81	35.39	58.32	1.32	4.68	1041.36	777.89	624.61	546.71	410.83	378.07	554.7	470.05	266.94	343.92	462.53	492.9	487.65	544.05	554.88	476.96	722.74	755.57	1207.86	0	352.1	429.77	542.05	1077.63	728.92	781.73	951.57	950.65	689.86	1327.01	1248.19	1711.47	2177.17	0	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	0	0	0	0	850	0	142.3	0	0	0	0	0	0	0	0	0	0
2212089	93.48	0.41	5.91	68.36	0.97	5.67	24.76	18.85	1.62	31.28	3.03	0.52	1.93	4.95	1.94	0.19	4.25	11.78	0.73	2.61	0.29	0.38	4.26	0.97	8.98	1.44	23.48	13.69	3.02	35.19	5.82	18.79	12.8	22.55	7.93	68.09	8.49	3.15	20.27	5.38	22.29	33.27	17.92	15	1.22	1.06	0.87	2.84	0.16	4.69	21.41	32.38	18.53	16.49	1.51	0.84	0.8	3.12	0.23	6.12	23.25	34.24	17.25	13.36	0.91	1.3	0.94	2.53	0.09	74.31	15.97	2.63	0.5	0.1	0.02	6.26	59.26	20.5	6.49	13.74	9.16	15.17	1.77	11.13	17.4	7.94	2.13	1.07	25.38	8.62	0.24	0.78	4.91	45.04	0.17	48.71	0.13	0.26	48.99	15.27	18.62	17.12	0.44	75.63	4.37	19.57	32.71	61.61	1.59	3.87	1392.85	1128.16	942.1	883.19	714.04	635.48	812.66	637.85	539.4	689.97	560.87	543.33	408.13	457.3	358.85	600.29	454.31	465.97	863.69	352.1	0	89.47	252.9	797.61	418.79	429.82	606.01	660.41	348.05	989.75	952.54	1395.82	1852.08	0	0	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0	0	0	850	0	100	539.85	0	0	0	0	0	0	0	0	0	0
